HOUR_TS,visits,hour,dayofweek,day,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,lag_1,lag_24,lag_168,rolling_24h,mall_Century mall,mall_City Center Mall,mall_Oasis Mall,mall_Rainbow mall,mall_Sunset Mall
2022-11-08 00:00:00,126,0,1,8,0,0.0,1.0,0.7818314824680298,0.6234898018587336,370.0,36.0,91.0,513.75,False,False,False,False,True
2022-11-08 01:00:00,7,1,1,8,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,37.0,7.0,68.0,279.375,True,False,False,False,False
2022-11-08 01:00:00,17,1,1,8,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,47.0,34.0,99.0,277.8333333333333,False,True,False,False,False
2022-11-08 01:00:00,32,1,1,8,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,176.0,15.0,48.0,451.5833333333333,False,False,True,False,False
2022-11-08 01:00:00,17,1,1,8,0,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,126.0,19.0,23.0,517.5,False,False,False,False,True
2022-11-08 02:00:00,9,2,1,8,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,32.0,7.0,14.0,452.2916666666667,False,False,True,False,False
2022-11-08 02:00:00,16,2,1,8,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,17.0,14.0,9.0,517.4166666666666,False,False,False,False,True
2022-11-08 02:00:00,4,2,1,8,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,17.0,7.0,25.0,277.125,False,True,False,False,False
2022-11-08 02:00:00,5,2,1,8,0,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,7.0,8.0,14.0,279.375,True,False,False,False,False
2022-11-08 03:00:00,5,3,1,8,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,9.0,8.0,14.0,452.375,False,False,True,False,False
2022-11-08 03:00:00,4,3,1,8,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,5.0,6.0,11.0,279.25,True,False,False,False,False
2022-11-08 03:00:00,13,3,1,8,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,16.0,7.0,9.0,517.5,False,False,False,False,True
2022-11-08 03:00:00,8,3,1,8,0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,4.0,7.0,9.0,277.0,False,True,False,False,False
2022-11-08 04:00:00,2,4,1,8,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,4.0,3.0,5.0,279.1666666666667,True,False,False,False,False
